"menu_name";"menu_descr";"menu_calories";"meal";"meal_starts_at";"item_name";"quantity";"serving_name";"calories";"protein";"fat";"carbohydrate";"sugars";"cholesterol";"fiber";"calcium";"sodium";"saturated_fat"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1750";"Lunch";"13:00:00";"Garbanzo Beans, canned (chickpeas, bengal gram)";"1.0000";"serving, 1/2 cup (4.2 oz)";"143";"6";"1";"27";"0";"0";"5";"38";"359";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1750";"Lunch";"13:00:00";"Onions, all types, raw/cooked";"2.0000";"tablespoon, chopped (0.4 oz)";"8";"0";"0";"2";"1";"0";"0";"4";"1";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1750";"Lunch";"13:00:00";"Bell Pepper, raw";"1.0000";"ring, 3" dia, 1/4" thick (0.4 oz)";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1750";"Lunch";"13:00:00";"Spinach, raw";"2.0000";"cup (1.1 oz)";"14";"2";"0";"2";"0";"0";"1";"59";"47";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1750";"Dinner";"19:00:00";"Eggplant, boiled, drained, no salt added";"1.0000";"cup, 1" cubes (3.5 oz)";"35";"1";"0";"9";"3";"0";"2";"6";"1";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1750";"Dinner";"19:00:00";"Olive oil";"1.0000";"tablespoon (0.5 oz)";"119";"0";"14";"0";"0";"0";"0";"0";"0";"2"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1750";"Dinner";"19:00:00";"Whole Wheat Blend Linguine, dry (Ronzoni Healthy Harvest)";"1.0000";"serving, 1/7 package dry (2.0 oz)";"180";"6";"1";"42";"1";"0";"6";"0";"0";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1750";"Dinner";"19:00:00";"Squash & Zucchini";"1.0000";"serving, 2 cups (3.0 oz)";"25";"2";"0";"6";"2";"0";"3";"40";"0";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1750";"Dinner";"19:00:00";"Salmon, Atlantic, cooked";"4.0000";"oz";"234";"25";"14";"0";"0";"71";"0";"17";"69";"3"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1750";"Dinner";"19:00:00";"Grapes, Red or Green ";"1.0000";"cup, with seeds, yields (5.3 oz)";"104";"1";"0";"27";"23";"0";"1";"15";"3";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2000";"Breakfast";"07:00:00";"Walnuts";"1.0000";"serving, 7 nuts (1.0 oz)";"183";"4";"18";"4";"1";"0";"2";"27";"1";"2"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2000";"Breakfast";"07:00:00";"Skim Milk";"1.0000";"cup (8.6 oz)";"91";"9";"1";"12";"12";"5";"0";"316";"130";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2000";"Breakfast";"07:00:00";"Oats/oatmeal, cooked (all types)";"1.0000";"cup (8.3 oz)";"147";"6";"2";"25";"1";"0";"4";"19";"2";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2000";"Breakfast";"07:00:00";"Raspberries, fresh";".5000";"cup (4.3 oz)";"32";"1";"0";"7";"3";"0";"4";"15";"1";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2000";"Morning Snack";"10:00:00";"Apple";"1.0000";"small, 2-1/2" dia, approx 4 per lb (3.7 oz)";"55";"0";"0";"15";"11";"0";"3";"6";"1";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2000";"Morning Snack";"10:00:00";"Trader Joe's: Yogurts: Greek Style Nonfat, Blueberry";"1.0000";"container (5.3 oz)";"120";"15";"0";"14";"14";"0";"0";"120";"50";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2000";"Lunch";"13:00:00";"Chicken Breast, meat only, grilled/roasted/baked";"3.0000";"oz";"140";"26";"3";"0";"0";"72";"0";"13";"63";"1"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2000";"Lunch";"13:00:00";"Tomato, fresh";"2.0000";"slice, thin/small (0.5 oz)";"5";"0";"0";"1";"1";"0";"0";"3";"2";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2000";"Lunch";"13:00:00";"Romaine Lettuce";"2.0000";"leaf, inner (0.2 oz)";"2";"0";"0";"0";"0";"0";"0";"4";"1";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2000";"Lunch";"13:00:00";"Knorr: Pasta Sauces: Mix, Pesto, dry";"1.0000";"serving, 1/3 package (0.2 oz)";"15";"1";"0";"2";"0";"0";"0";"0";"480";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2000";"Lunch";"13:00:00";"Whole Wheat Pita Bread (Khoubiz)";"1.0000";"large, 6-1/2" dia (2.3 oz)";"170";"6";"2";"35";"1";"0";"5";"10";"340";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2000";"Lunch";"13:00:00";"Orange";"1.0000";"fruit, 2-5/8" dia (4.6 oz)";"62";"1";"0";"15";"12";"0";"3";"52";"0";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2000";"Afternoon Snack";"17:00:00";"Almonds, dry roasted, no salt added";"1.0000";"serving, 24-28 medium kernels (1.0 oz)";"169";"6";"15";"5";"1";"0";"3";"75";"0";"1"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2000";"Dinner";"19:00:00";"Sweet white corn, boiled/steamed";"1.0000";"serving, 1/2 cup kernels (2.9 oz)";"77";"3";"1";"18";"0";"0";"2";"2";"3";"0"
